district_id,district_name,state_id,active
1,Bengaluru Urban,1,True
2,Bengaluru Rural,1,True
3,Mysuru,1,True
4,Mangaluru (Dakshina Kannada),1,True
5,Belagavi,1,True
6,Kalaburagi,1,True
7,Hubballi-Dharwad,1,True
8,Ballari,1,True
9,Tumakuru,1,True
10,Shivamogga,1,True
11,Davanagere,1,True
12,Vijayapura,1,True
13,Raichur,1,True
14,Udupi,1,True
15,Chikkamagaluru,1,True
16,Hassan,1,True
17,Mandya,1,True
18,Kolar,1,True
19,Chitradurga,1,True
20,Bidar,1,True
21,Chennai,3,True
22,Hyderabad,6,True
23,Kochi,4,True
24,Mumbai,5,True
25,Panaji,7,True
