DesignationID,DesignationName,Active,SortOrder
1,SHO_1,True,17
2,Records Clerk_2,True,15
3,SHO_3,True,3
4,Duty Officer_4,True,19
5,SHO_5,True,10
6,Investigating Officer_6,True,8
7,Investigating Officer_7,True,17
8,SHO_8,True,1
9,Investigating Officer_9,True,8
10,Records Clerk_10,True,10
11,Duty Officer_11,True,14
12,Duty Officer_12,True,3
13,Investigating Officer_13,True,16
14,SHO_14,True,12
15,Beat Officer_15,True,16
16,SHO_16,True,14
17,Investigating Officer_17,True,19
18,Records Clerk_18,True,12
19,Investigating Officer_19,True,12
20,Investigating Officer_20,True,18
21,Records Clerk_21,True,6
22,Investigating Officer_22,True,2
23,SHO_23,True,10
24,Duty Officer_24,True,12
25,Beat Officer_25,True,15
26,Records Clerk_26,True,1
27,Beat Officer_27,True,2
28,Beat Officer_28,True,8
29,SHO_29,True,1
30,Records Clerk_30,True,14
31,Beat Officer_31,True,14
32,Duty Officer_32,True,5
33,Records Clerk_33,True,13
34,SHO_34,True,3
35,Duty Officer_35,True,1
36,Duty Officer_36,True,19
37,Investigating Officer_37,False,9
38,SHO_38,True,8
39,Investigating Officer_39,True,16
40,Beat Officer_40,True,14
41,Records Clerk_41,False,16
42,Duty Officer_42,True,19
43,Duty Officer_43,True,1
44,Records Clerk_44,True,9
45,Beat Officer_45,True,2
46,Beat Officer_46,True,8
47,Duty Officer_47,True,6
48,SHO_48,True,15
49,Beat Officer_49,True,12
50,SHO_50,True,11
51,Duty Officer_51,True,2
52,Records Clerk_52,True,12
53,Duty Officer_53,True,5
54,Records Clerk_54,True,3
55,SHO_55,True,16
56,Records Clerk_56,True,9
57,SHO_57,True,1
58,SHO_58,True,8
59,Records Clerk_59,True,14
60,Records Clerk_60,True,12
61,Beat Officer_61,True,11
62,Beat Officer_62,True,5
63,Beat Officer_63,True,17
64,Duty Officer_64,True,17
65,Records Clerk_65,True,14
66,Duty Officer_66,True,3
67,Beat Officer_67,True,7
68,Beat Officer_68,False,1
69,Beat Officer_69,True,17
70,Beat Officer_70,True,2
71,Records Clerk_71,True,6
72,Records Clerk_72,True,10
73,Investigating Officer_73,True,8
74,Duty Officer_74,True,5
75,Records Clerk_75,True,13
76,Records Clerk_76,False,10
77,Beat Officer_77,True,15
78,Duty Officer_78,True,2
79,Duty Officer_79,True,15
80,Beat Officer_80,True,6
81,SHO_81,True,2
82,Duty Officer_82,False,4
83,Records Clerk_83,True,14
84,Duty Officer_84,True,8
85,Beat Officer_85,True,18
86,Records Clerk_86,True,13
87,SHO_87,True,2
88,SHO_88,True,6
89,Beat Officer_89,True,18
90,SHO_90,True,1
91,Beat Officer_91,False,19
92,SHO_92,True,8
93,Investigating Officer_93,True,11
94,Beat Officer_94,True,15
95,Duty Officer_95,False,7
96,Duty Officer_96,True,15
97,Beat Officer_97,True,9
98,Records Clerk_98,True,1
99,Records Clerk_99,True,17
100,Beat Officer_100,True,9
101,Investigating Officer_101,True,9
102,Beat Officer_102,True,15
103,Beat Officer_103,True,5
104,Duty Officer_104,True,12
105,Beat Officer_105,False,16
106,Records Clerk_106,True,7
107,SHO_107,True,16
108,Records Clerk_108,True,12
109,Investigating Officer_109,True,7
110,Investigating Officer_110,True,16
111,Duty Officer_111,True,3
112,Beat Officer_112,True,9
113,Beat Officer_113,True,1
114,SHO_114,True,7
115,Duty Officer_115,True,18
116,Duty Officer_116,True,18
117,Records Clerk_117,True,8
118,Records Clerk_118,True,9
119,Records Clerk_119,True,10
120,SHO_120,True,15
121,SHO_121,True,1
122,Investigating Officer_122,True,18
123,Beat Officer_123,True,15
124,Records Clerk_124,False,9
125,Duty Officer_125,True,11
126,Beat Officer_126,True,15
127,SHO_127,True,3
128,Duty Officer_128,True,4
129,SHO_129,True,14
130,Beat Officer_130,True,2
131,SHO_131,True,3
132,Investigating Officer_132,True,11
133,Duty Officer_133,True,17
134,Beat Officer_134,True,4
135,Beat Officer_135,True,17
136,SHO_136,True,17
137,Records Clerk_137,True,5
138,Beat Officer_138,True,14
139,SHO_139,True,11
140,Records Clerk_140,True,3
141,Investigating Officer_141,True,17
142,SHO_142,True,15
143,Beat Officer_143,True,14
144,SHO_144,True,6
145,SHO_145,True,15
146,Duty Officer_146,True,14
147,Investigating Officer_147,True,3
148,SHO_148,True,16
149,Records Clerk_149,True,2
150,Beat Officer_150,True,5
151,Duty Officer_151,True,8
152,Investigating Officer_152,True,17
153,Investigating Officer_153,True,6
154,SHO_154,True,5
155,Records Clerk_155,True,1
156,SHO_156,True,10
157,Duty Officer_157,True,18
158,Duty Officer_158,True,19
159,Investigating Officer_159,True,7
160,SHO_160,True,1
161,Beat Officer_161,True,19
162,Records Clerk_162,True,18
163,Investigating Officer_163,True,14
164,Records Clerk_164,True,6
165,SHO_165,True,9
166,Records Clerk_166,True,14
167,Beat Officer_167,True,4
168,Duty Officer_168,True,9
169,Investigating Officer_169,True,5
170,SHO_170,True,9
171,Beat Officer_171,True,11
172,SHO_172,True,12
173,Records Clerk_173,True,4
174,Beat Officer_174,True,6
175,Records Clerk_175,True,7
176,Investigating Officer_176,True,13
177,Duty Officer_177,True,2
178,Duty Officer_178,True,8
179,Records Clerk_179,True,7
180,Duty Officer_180,True,18
181,SHO_181,True,8
182,Duty Officer_182,True,19
183,Beat Officer_183,True,18
184,Investigating Officer_184,False,11
185,Duty Officer_185,True,19
186,Investigating Officer_186,True,17
187,Records Clerk_187,True,18
188,Duty Officer_188,True,11
189,Investigating Officer_189,True,10
190,Investigating Officer_190,True,17
191,Records Clerk_191,True,13
192,SHO_192,True,15
193,Investigating Officer_193,True,13
194,SHO_194,True,2
195,Beat Officer_195,True,9
196,Duty Officer_196,True,19
197,Duty Officer_197,True,12
198,Beat Officer_198,True,7
199,SHO_199,True,12
200,Duty Officer_200,True,1
201,Investigating Officer_201,True,12
202,Records Clerk_202,True,18
203,Beat Officer_203,True,11
204,SHO_204,True,12
205,Duty Officer_205,True,12
206,Beat Officer_206,True,3
207,Records Clerk_207,True,9
208,Beat Officer_208,True,14
209,Duty Officer_209,True,18
210,Beat Officer_210,True,7
211,SHO_211,True,11
212,Investigating Officer_212,True,9
213,Records Clerk_213,True,11
214,Records Clerk_214,True,16
215,Beat Officer_215,True,6
216,Duty Officer_216,True,15
217,Investigating Officer_217,True,7
218,Investigating Officer_218,True,4
219,SHO_219,True,8
220,Beat Officer_220,True,3
221,SHO_221,True,4
222,SHO_222,True,10
223,Investigating Officer_223,True,13
224,SHO_224,True,18
225,SHO_225,True,1
226,Records Clerk_226,True,14
227,Duty Officer_227,True,7
228,SHO_228,True,11
229,Beat Officer_229,True,15
230,Duty Officer_230,True,15
231,SHO_231,True,16
232,Investigating Officer_232,True,18
233,Investigating Officer_233,True,7
234,Beat Officer_234,False,1
235,Beat Officer_235,False,18
236,Investigating Officer_236,True,2
237,SHO_237,True,11
238,SHO_238,True,12
239,Duty Officer_239,True,6
240,SHO_240,True,2
241,Records Clerk_241,True,3
242,Investigating Officer_242,True,1
243,SHO_243,True,8
244,Investigating Officer_244,True,8
245,SHO_245,True,8
246,Investigating Officer_246,True,18
247,Records Clerk_247,True,1
248,SHO_248,True,18
249,Duty Officer_249,True,2
250,Beat Officer_250,True,10
251,Duty Officer_251,True,19
252,Duty Officer_252,True,10
253,Duty Officer_253,True,1
254,SHO_254,True,4
255,Duty Officer_255,True,13
256,SHO_256,False,14
257,Duty Officer_257,True,7
258,Investigating Officer_258,True,4
259,SHO_259,True,12
260,Investigating Officer_260,True,17
261,Beat Officer_261,True,16
262,Records Clerk_262,True,3
263,SHO_263,True,12
264,Investigating Officer_264,True,4
265,Records Clerk_265,True,11
266,Beat Officer_266,True,7
267,Beat Officer_267,True,17
268,Records Clerk_268,True,18
269,Investigating Officer_269,True,4
270,Beat Officer_270,True,8
271,Records Clerk_271,True,8
272,Records Clerk_272,True,13
273,Investigating Officer_273,False,18
274,Beat Officer_274,True,15
275,SHO_275,True,3
276,Duty Officer_276,True,3
277,Beat Officer_277,True,18
278,SHO_278,True,3
279,Investigating Officer_279,True,3
280,Records Clerk_280,True,4
281,SHO_281,True,13
282,SHO_282,True,4
283,Duty Officer_283,False,11
284,SHO_284,True,5
285,Investigating Officer_285,False,15
286,Beat Officer_286,True,7
287,Investigating Officer_287,True,11
288,Investigating Officer_288,True,6
289,Records Clerk_289,True,6
290,Investigating Officer_290,True,8
291,Duty Officer_291,True,12
292,SHO_292,True,8
293,Investigating Officer_293,True,1
294,Records Clerk_294,True,5
295,Investigating Officer_295,True,1
296,Records Clerk_296,True,13
297,Investigating Officer_297,True,4
298,Investigating Officer_298,True,18
299,SHO_299,True,13
300,Records Clerk_300,True,10
301,Beat Officer_301,True,16
302,Investigating Officer_302,True,17
303,Investigating Officer_303,True,18
304,SHO_304,False,16
305,Beat Officer_305,True,15
306,Investigating Officer_306,True,17
307,Duty Officer_307,True,1
308,Duty Officer_308,True,1
309,SHO_309,True,13
310,SHO_310,True,19
311,Investigating Officer_311,True,2
312,Investigating Officer_312,True,8
313,Records Clerk_313,True,7
314,Beat Officer_314,True,3
315,Beat Officer_315,True,16
316,SHO_316,True,4
317,Investigating Officer_317,True,9
318,Beat Officer_318,True,11
319,SHO_319,True,13
320,Beat Officer_320,True,14
321,Records Clerk_321,True,5
322,Beat Officer_322,True,7
323,SHO_323,True,4
324,Investigating Officer_324,True,10
325,Duty Officer_325,True,10
326,SHO_326,True,12
327,Beat Officer_327,True,3
328,Beat Officer_328,True,1
329,Beat Officer_329,True,5
330,Investigating Officer_330,True,7
331,Investigating Officer_331,True,15
332,Records Clerk_332,True,17
333,Duty Officer_333,True,7
334,Duty Officer_334,True,2
335,Records Clerk_335,True,7
336,Investigating Officer_336,True,16
337,Beat Officer_337,True,14
338,Investigating Officer_338,True,10
339,SHO_339,True,15
340,SHO_340,True,10
341,Records Clerk_341,True,14
342,Beat Officer_342,True,6
343,Investigating Officer_343,True,3
344,SHO_344,True,1
345,SHO_345,True,5
346,Duty Officer_346,True,19
347,Beat Officer_347,True,10
348,Records Clerk_348,True,10
349,Beat Officer_349,False,9
350,Records Clerk_350,True,13
351,Duty Officer_351,True,19
352,SHO_352,True,4
353,Investigating Officer_353,True,13
354,Records Clerk_354,True,3
355,Duty Officer_355,True,2
356,Beat Officer_356,True,3
357,SHO_357,True,10
358,Records Clerk_358,True,13
359,Beat Officer_359,True,7
360,SHO_360,True,6
361,Duty Officer_361,True,15
362,Investigating Officer_362,True,2
363,Records Clerk_363,True,6
364,Records Clerk_364,True,18
365,Investigating Officer_365,True,8
366,SHO_366,True,19
367,Records Clerk_367,True,6
368,SHO_368,True,6
369,Investigating Officer_369,True,15
370,Investigating Officer_370,True,13
371,Investigating Officer_371,True,9
372,Records Clerk_372,True,18
373,Investigating Officer_373,True,4
374,Duty Officer_374,True,16
375,SHO_375,True,1
376,SHO_376,True,17
377,SHO_377,True,10
378,Records Clerk_378,True,14
379,Beat Officer_379,True,15
380,Investigating Officer_380,True,6
381,Beat Officer_381,True,17
382,Records Clerk_382,False,19
383,Beat Officer_383,True,4
384,Beat Officer_384,True,19
385,Investigating Officer_385,True,4
386,SHO_386,True,6
387,Investigating Officer_387,True,16
388,Beat Officer_388,True,17
389,Beat Officer_389,True,4
390,Records Clerk_390,True,19
391,Investigating Officer_391,True,12
392,Investigating Officer_392,False,1
393,Investigating Officer_393,True,11
394,Records Clerk_394,True,19
395,Beat Officer_395,True,1
396,Beat Officer_396,True,6
397,Beat Officer_397,False,19
398,Investigating Officer_398,True,16
399,Records Clerk_399,True,9
400,Duty Officer_400,True,16
401,SHO_401,True,16
402,Duty Officer_402,True,7
403,Investigating Officer_403,True,1
404,Records Clerk_404,True,14
405,Beat Officer_405,True,12
406,Investigating Officer_406,True,16
407,Beat Officer_407,True,7
408,Records Clerk_408,True,13
409,Duty Officer_409,True,9
410,Investigating Officer_410,True,12
411,Records Clerk_411,True,2
412,SHO_412,True,1
413,Duty Officer_413,True,12
414,Investigating Officer_414,True,5
415,Investigating Officer_415,True,15
416,Duty Officer_416,False,11
417,Investigating Officer_417,True,4
418,Duty Officer_418,True,5
419,Duty Officer_419,True,6
420,SHO_420,True,18
421,Duty Officer_421,True,14
422,Records Clerk_422,True,15
423,Investigating Officer_423,True,10
424,Beat Officer_424,True,4
425,Investigating Officer_425,False,19
426,Beat Officer_426,True,14
427,Beat Officer_427,True,13
428,Investigating Officer_428,True,18
429,Beat Officer_429,True,15
430,SHO_430,True,2
431,Records Clerk_431,True,3
