StateID,StateName,NationalityID,Active
1,Massachusetts_1126,28,True
2,Alabama_1459,20,True
3,Missouri_860,10,True
4,South Carolina_1294,31,True
5,Wisconsin_1130,19,True
6,Arizona_1095,2,True
7,Texas_1724,4,True
8,New Hampshire_1044,15,True
9,Georgia_1638,38,True
10,Connecticut_121,33,True
11,Michigan_466,18,True
12,Washington_1238,40,True
13,Arizona_330,32,True
14,Arizona_1482,32,True
15,Vermont_87,13,True
16,Colorado_1396,16,True
17,Nebraska_1123,33,True
18,Hawaii_871,34,True
19,Michigan_1687,14,True
20,Alaska_130,47,True
21,Iowa_1685,2,True
22,Oklahoma_1332,13,True
23,Hawaii_769,29,True
24,Missouri_343,43,True
25,Washington_1515,42,True
26,Wisconsin_1437,34,True
27,Maine_805,17,True
28,Missouri_385,3,True
29,Oregon_1215,30,True
30,Oregon_955,4,True
31,New York_276,31,True
32,New Mexico_1184,5,False
33,South Carolina_459,2,True
34,Minnesota_1337,4,True
35,Massachusetts_21,44,True
36,Louisiana_252,38,True
37,Maine_747,27,True
38,Alabama_856,27,True
39,Oklahoma_1584,15,True
40,Minnesota_474,39,True
41,Maryland_1082,38,True
42,Wyoming_510,14,True
43,Tennessee_1705,18,True
44,Michigan_1499,29,True
45,Nebraska_699,7,True
46,Georgia_975,38,True
47,Alaska_1806,24,True
48,New York_189,38,True
49,Nebraska_957,6,True
50,New Mexico_686,20,True
51,Nebraska_957,42,True
52,Kentucky_562,36,True
53,Alabama_1899,10,True
54,New York_1590,22,True
55,Washington_1267,33,True
56,Montana_831,23,True
57,Maryland_1528,46,True
58,New Mexico_1154,41,True
59,Kansas_1508,42,True
60,Maine_1842,4,True
61,West Virginia_646,21,True
62,Massachusetts_20,13,True
63,Kentucky_840,42,True
64,Mississippi_166,13,True
65,Vermont_1297,12,True
66,Nevada_387,24,True
67,Kansas_600,35,True
68,Michigan_315,19,True
69,Idaho_13,9,True
70,Mississippi_241,13,True
71,Georgia_776,22,True
72,Washington_1369,40,True
73,Texas_564,36,True
74,Kentucky_897,28,True
75,Hawaii_1363,41,True
76,Indiana_91,7,True
77,Kansas_1390,30,False
78,Oregon_955,31,True
79,Wyoming_1478,11,True
80,Utah_1451,30,True
81,Ohio_508,15,True
82,Kentucky_775,13,True
83,South Dakota_1966,35,True
84,Alabama_34,35,True
85,West Virginia_205,20,True
86,Washington_1104,43,True
87,New York_1955,23,True
88,North Dakota_1585,37,True
89,Alaska_1895,20,True
90,Iowa_1411,19,True
91,Wisconsin_1025,44,True
92,Wyoming_1021,18,True
93,Nevada_1413,4,True
94,Oklahoma_565,8,True
95,New Jersey_1129,46,True
96,North Carolina_1795,30,True
97,Alabama_1845,48,True
98,Wisconsin_1500,20,False
99,Oklahoma_702,8,True
100,Vermont_401,5,True
101,Virginia_729,41,True
102,Mississippi_1579,34,True
103,Connecticut_161,40,True
104,Missouri_201,7,False
105,Rhode Island_1981,22,True
106,Washington_995,9,True
107,Louisiana_269,11,True
108,Louisiana_1886,12,True
109,Kentucky_815,8,True
110,South Carolina_1294,32,False
111,Maryland_455,17,True
112,Missouri_1485,26,True
113,Missouri_1750,33,True
114,Pennsylvania_1275,26,True
115,Colorado_1016,22,True
