DistrictID,DistrictName,StateID,Active
1,Port Brandi_2686,17559,True
2,Jenniferchester_1187,27295,True
3,New Mackenzie_1955,92263,True
4,Larsenfort_1093,68023,True
5,Gonzalezfort_1842,17775,True
6,South Erin_300,90135,True
7,West Wendyshire_303,75154,True
8,Phyllisborough_318,3169,True
9,Port Jeromeshire_2333,94370,True
10,Mendozaville_1754,19450,True
11,East Dana_2901,31589,True
12,Courtneyville_2803,37612,True
13,New Heatherside_511,78083,True
14,Bryanside_294,9164,True
15,Port Edward_1468,5836,False
16,New Rachelstad_1189,60447,False
17,South Lisa_1863,35541,True
18,East Ashleytown_1625,42378,True
19,Joshuaview_2113,85947,True
20,Bradytown_2371,8530,True
21,Johnsonborough_2841,20592,True
22,Clarkland_70,61263,False
23,Phyllisland_1538,13368,True
24,New Nicholashaven_1536,99402,True
25,Vangfurt_2054,85098,True
26,Lake Ashley_694,23521,True
27,Sandymouth_2024,22110,True
28,South Kayla_103,8375,True
29,Gardnermouth_1145,25159,True
30,Jordanmouth_1230,82691,True
31,Michellebury_1428,58022,True
32,Webbstad_1558,22252,True
33,Lake Jasmineville_1065,17311,True
34,Jeremyfort_1898,35701,True
35,Mayberg_2687,82973,True
36,North Juliechester_2613,55595,True
37,Davishaven_2641,40184,True
38,East Robertmouth_1243,80548,True
39,New Mackenzie_1955,31368,True
40,Meyersfort_127,57628,True
41,South Daniel_2431,83047,True
42,East Tom_246,94581,True
43,South Darren_1419,94204,True
44,Gilbertville_2818,4944,True
45,Sabrinastad_526,66259,True
46,Leeborough_912,65485,True
47,Port Jeromeshire_2333,29092,True
48,South Julie_941,79644,True
49,Smithchester_2177,52062,True
50,Port Karenville_342,26726,True
51,Lake Ashley_2660,88108,True
52,Matthewchester_2606,52920,True
53,South Kimberlyburgh_2072,65222,True
54,Colebury_2106,56483,True
55,Port Robertberg_851,75014,True
56,Sanchezfort_1614,76317,True
57,West Andrewhaven_2645,75851,True
58,East Katrinaview_2619,50894,False
59,Farmertown_1449,7388,True
60,East Alexandraton_1415,97192,True
61,East Mark_2644,29057,True
62,West Feliciashire_1705,42992,True
63,Port Jose_2103,29489,True
64,Janiceport_1902,21548,True
65,Brownburgh_1668,75122,True
66,West Taylor_1475,72093,True
67,North Randall_298,72876,True
68,Joshuatown_86,40384,True
69,Murrayland_152,4832,True
70,Robertmouth_1886,86471,True
71,Kristenstad_2356,19153,True
72,Stephenview_1631,26070,True
73,South Johnny_2221,57330,True
74,New Stephenville_1164,91503,True
75,Port Benjamin_2212,32325,True
76,South Daniel_114,6995,True
77,Dennismouth_192,76242,True
78,Lake Stevemouth_2253,55553,True
79,Mooreburgh_1348,14612,True
80,East Franciscofort_2267,14999,True
81,West Melissa_1834,76902,True
82,Belltown_832,47679,True
83,New Nicholashaven_1536,15679,True
84,South Nicholas_2533,80726,True
85,Robertsfort_1041,82865,True
86,Michelleville_1849,35313,True
87,East Louisfurt_377,86259,True
88,Lake Michaelview_1671,3707,True
89,Wangtown_1452,88483,False
90,Lucasville_2387,91351,True
91,East Katrinaview_2619,80135,True
92,Smithborough_419,56268,True
93,Melissaview_2673,13030,True
94,Ericfurt_1440,84021,True
95,South Dan_765,45667,True
96,North Tina_2748,64231,True
97,Gallegosburgh_1233,26519,True
98,South Christine_564,22694,True
99,Jamesmouth_2777,88243,True
100,West Tanyashire_1127,64671,True
101,Valdeztown_174,30177,True
102,Denisebury_2879,95785,True
103,North Stephanie_519,66380,True
104,Haydenhaven_2208,96785,True
105,Alexandrastad_353,11454,True
106,East Briantown_2958,62345,True
107,Richardsonstad_2596,42174,False
108,Hillshire_2064,20488,True
109,Port Lisa_1928,57397,True
110,Alexismouth_632,19152,True
111,Sanfordborough_1313,63518,True
112,Lake Stephenview_1627,28302,True
113,East Kendra_1497,24217,True
114,Ramirezview_2496,47574,True
115,East Katrinaview_2619,65709,True
116,Mooreville_123,99858,True
117,New Elizabeth_297,44721,True
118,New Danieltown_1988,74689,True
119,Richardchester_2993,12958,True
120,West Evanmouth_583,91870,True
121,Nathanchester_1526,17779,True
122,Port Kristen_2931,43012,False
123,Alexanderville_332,19032,False
124,Barrettfurt_2311,99409,True
125,Joannachester_2382,5137,True
126,Robertside_1111,96453,True
127,Jacksonmouth_277,52536,True
128,South Erikastad_2744,49169,True
129,East Dustinburgh_2359,63885,True
130,Lake Vanessabury_196,15413,False
131,Josephborough_1095,8624,True
132,Michaelmouth_520,15391,True
133,South Tracy_2427,85719,True
134,North Bradley_2244,57303,True
135,Kellerview_2424,18182,True
136,North Randyborough_1340,17275,True
137,Karaton_2625,60021,True
138,Vasquezshire_1545,61921,True
139,Guerreroland_2664,69439,True
140,Kentbury_1777,66440,True
141,Cruzburgh_139,68599,True
142,Lake Luke_1730,97178,True
143,Bradytown_2371,23236,True
144,Smithton_2992,16074,True
145,Port Sarahberg_528,72362,True
146,Davidfurt_2136,5570,True
147,Coreychester_1626,59076,True
148,Pattersontown_797,698,True
149,Perezland_747,76233,True
150,Lake Gary_168,50549,True
151,North Justin_880,4920,True
152,Port Michaelmouth_2817,13500,True
153,Williamburgh_1968,94084,True
154,Dawnland_1380,34794,True
155,North Thomas_2471,57627,True
156,Lake Charlotte_384,87089,True
157,Walterton_1318,23045,True
158,Lake Ryan_1235,8309,True
159,Port Toni_2568,67864,True
160,Reginaldton_922,52036,True
161,Floresburgh_1045,71757,True
162,Jamesstad_2943,47257,True
163,South Tracy_2427,62171,True
164,South Kimberlyburgh_2072,65011,True
165,Jackiefurt_2052,18458,False
166,Stonehaven_2898,92709,True
167,Shannonfort_267,96105,True
168,Howardland_814,80278,True
169,West Ashleymouth_982,16962,False
170,East Julianside_571,83277,True
171,Greenemouth_41,21083,True
172,Keithtown_824,8817,True
173,Lake Kimberlyside_1371,48115,True
174,Lake Krystalside_604,7397,True
175,New Sarahville_652,83807,True
176,Morrowside_629,55952,True
177,Lake Kelsey_1116,98595,True
178,West Teresa_488,83180,True
179,Lake Sarahmouth_2370,25249,True
180,South Timothy_875,20295,True
181,Stonehaven_2898,21772,True
182,North Leonardport_576,74840,True
183,East John_1416,39924,True
184,New Joshuaview_980,52648,True
185,Masseyborough_2167,83591,True
186,Port Josephbury_434,3230,True
187,Barbarastad_595,15855,True
188,Richardberg_2822,29486,True
189,West Adambury_1733,67499,True
190,South Roger_2495,25891,True
191,South Katelyn_2638,33064,False
192,North Curtisstad_2632,3737,True
193,West Kylemouth_2060,58829,True
194,Brownchester_443,88888,True
195,North Jill_1123,81537,True
196,Rachelside_724,45461,True
197,Lake Patriciastad_2776,5404,True
198,Reyesbury_185,63910,True
199,Jeremyton_1957,84210,True
200,Leeville_2452,94108,True
201,Lisastad_261,24612,True
202,South Nicholas_2533,35903,True
203,Brettview_2775,74991,True
204,Port Anthony_971,73523,True
205,West Karen_578,83286,True
206,Lewisborough_2363,78146,True
207,Timothybury_510,28857,False
208,Shepardton_2609,9167,True
209,Lake Melanie_2937,24602,True
210,New Amy_2726,21335,True
211,Davischester_738,89969,True
212,Michaelchester_2620,49320,True
213,Lake Alexanderside_452,1527,True
214,East Bobby_2923,27054,True
215,West Devinport_833,6952,True
216,Valdeztown_174,31680,True
217,Coreyfurt_780,31534,True
218,Brandonview_2814,44121,True
219,North Deborahstad_483,94115,True
220,Donnamouth_351,48697,True
221,Dannyberg_150,38880,True
222,New Williamton_2198,99676,False
223,East Carolberg_466,15331,True
224,Davishaven_2586,84175,True
225,North Stephanie_997,67606,True
226,Scottbury_1392,42879,True
227,Wilsonmouth_754,27718,False
228,Cynthialand_388,34845,True
229,Deborahport_2757,61783,True
230,Brownburgh_1668,76614,True
